tiger	cat	0.788473
tiger	tiger	1.0
plane	car	0.669348
train	car	0.612361
television	radio	0.816246
media	radio	0.511173
bread	butter	0.846341
cucumber	potato	0.794711
doctor	nurse	0.821946
professor	doctor	0.503541
student	professor	0.620302
smart	stupid	0.33471
wood	forest	0.632693
money	cash	0.818668
king	queen	0.628003
king	rook	0.338725
bishop	rabbi	0.575315
fuck	sex	0.138694
football	soccer	0.855462
football	basketball	0.747964
football	tennis	0.655446
Arafat	Jackson	0.269409
physics	chemistry	0.791721
vodka	gin	0.780358
vodka	brandy	0.564504
drink	eat	0.659565
car	automobile	0.538484
gem	jewel	0.548245
journey	voyage	0.802518
boy	lad	0.740724
coast	shore	0.777452
asylum	madhouse	0.218958
magician	wizard	0.718603
midday	noon	0.847937
furnace	stove	0.730192
food	fruit	0.654372
bird	cock	0.618788
bird	crane	0.627293
food	rooster	0.188983
money	dollar	0.513214
money	currency	0.46971
tiger	jaguar	0.773074
tiger	feline	0.584666
tiger	carnivore	0.702432
tiger	mammal	0.695325
tiger	animal	0.676106
tiger	organism	0.371849
tiger	fauna	0.579661
psychology	psychiatry	0.845983
psychology	science	0.794533
psychology	discipline	0.58255
planet	star	0.188241
planet	moon	0.737317
planet	sun	0.604797
precedent	example	0.556145
precedent	antecedent	0.826313
cup	tableware	0.507978
cup	artifact	0.110247
cup	object	0.169248
cup	entity	0.166795
jaguar	cat	0.634703
jaguar	car	0.55232
mile	kilometer	0.870469
skin	eye	0.65083
Japanese	American	0.663429
century	year	0.602151
announcement	news	0.479076
doctor	personnel	0.359259
Harvard	Yale	0.915334
hospital	infrastructure	0.248095
life	death	0.448925
travel	activity	0.360726
type	kind	0.75913
street	place	0.303689
street	avenue	0.520894
street	block	0.484608
cell	phone	0.488643
dividend	payment	0.662139
calculation	computation	0.7479
profit	loss	0.498962
dollar	yen	0.739542
dollar	buck	0.287134
phone	equipment	0.390232
liquid	water	0.746805
marathon	sprint	0.65409
seafood	food	0.808668
seafood	lobster	0.751682
lobster	food	0.547379
lobster	wine	0.638743
championship	tournament	0.804708
man	woman	0.890702
man	governor	0.334675
murder	manslaughter	0.778775
opera	performance	0.391661
Mexico	Brazil	0.671501
glass	metal	0.69576
aluminum	metal	0.619469
rock	jazz	0.594226
museum	theater	0.639599
shower	thunderstorm	0.40456
monk	oracle	0.531985
cup	food	0.296704
journal	association	0.390755
street	children	0.249732
car	flight	0.467942
space	chemistry	0.448119
situation	conclusion	0.541097
word	similarity	0.33616
peace	plan	0.365765
consumer	energy	0.58884
ministry	culture	0.389909
smart	student	0.009619
investigation	effort	0.539616
image	surface	0.464564
life	term	0.437205
start	match	0.455911
computer	news	0.222025
board	recommendation	0.481271
lad	brother	0.453215
observation	architecture	0.641099
coast	hill	0.576439
deployment	departure	0.56653
benchmark	index	0.743691
attempt	peace	0.321142
consumer	confidence	0.423859
start	year	0.184212
focus	life	0.269982
development	issue	0.440158
theater	history	0.407398
situation	isolation	0.628694
profit	warning	0.344938
media	trading	0.314424
chance	credibility	0.464943
precedent	information	0.406226
architecture	century	0.481114
population	development	0.563052
stock	live	0.121244
peace	atmosphere	0.321894
morality	marriage	0.433912
minority	peace	0.377847
atmosphere	landscape	0.669985
report	gain	0.174707
music	project	0.254164
seven	series	0.402794
experience	music	0.461129
school	center	0.34803
five	month	0.151521
announcement	production	0.372248
morality	importance	0.615418
money	operation	0.296309
delay	news	0.106988
governor	interview	0.293664
practice	institution	0.642507
century	nation	0.462066
coast	forest	0.620439
shore	woodland	0.593334
drink	car	0.425519
president	medal	0.249374
prejudice	recognition	0.460922
viewer	serial	0.212509
peace	insurance	0.175316
Mars	water	0.24785
media	gain	0.096831
precedent	cognition	0.45942
announcement	effort	0.454817
line	insurance	0.180874
crane	implement	0.139482
drink	mother	0.316039
opera	industry	0.367159
volunteer	motto	0.172467
listing	proximity	0.521803
precedent	collection	0.304851
cup	article	0.15145
sign	recess	0.263393
problem	airport	0.272444
reason	hypertension	0.320085
direction	combination	0.456382
Wednesday	news	0.372691
glass	magician	0.248133
cemetery	woodland	0.656015
possibility	girl	0.096798
cup	substance	0.280635
forest	graveyard	0.662118
stock	egg	0.228212
month	hotel	0.217423
energy	secretary	0.250517
precedent	group	0.208577
production	hike	0.288331
stock	phone	0.345112
holy	sex	0.243576
stock	CD	0.305158
drink	ear	0.31511
delay	racism	0.201006
stock	life	0.184955
stock	jaguar	0.336983
monk	slave	0.538157
lad	wizard	0.477474
sugar	approach	0.251242
rooster	voyage	0.349886
noon	string	0.131876
chord	smile	0.533968
professor	cucumber	0.145229
king	cabbage	0.489838
